name,median_CPPP,median_CPPP_adj,median_polling
Kirsten Gillibrand,267.5041754969229,0.33569009454747845,0.8517018594213168
Bill de Blasio,397.42681940425166,0.28716365463861854,0.5328615845987024
Cory Booker,128.85203566982767,0.21717066537516377,2.6569329717310106
Elizabeth Warren,89.6331954940386,0.1868772851301237,12.54317988239643
Pete Buttigieg,97.87771039145196,0.01884280196483292,5.2995425104171705
Amy Klobuchar,150.9213434866923,0.013924705283463396,1.5704482775333253
Kamala Harris,75.47706228647041,-0.02727191159125518,8.23921481237113
Joe Biden,62.32898305625043,-0.07756811223649417,30.14634502659885
Eric Swalwell,1552.9104376024288,-0.0837368396328633,0.08225622684593226
Tom Steyer,212.7562586609242,-0.14632807310550008,0.7238329954158211
Bernie Sanders,54.13721838991317,-0.22208154249221504,18.526867457915646
Julian Castro,132.87589331999376,-0.2488706347818287,1
Jay Inslee,309.2232890286471,-0.27434380415514825,0.4264912214952973
Beto O'Rourke,57.24439639428356,-0.42276360092561793,3.8991938472600967
Tulsi Gabbard,96.82605181621355,-0.46423829760997665,0.9054264188859045
Seth Moulton,471.37252029675176,-0.48065669808471834,0.11367612958772251
Michael Bennet,116.42834400300404,-0.5173338926778129,0.6394388154056936
Andrew Yang,72.64587351540328,-0.5321666958462709,1.63765193480268
Tim Ryan,96.38378613290777,-0.5505519842543481,0.7117627880259062
Marianne Williamson,119.487208091414,-0.5550673286587472,0.5412900855521559
John Hickenlooper,93.82541309253355,-0.5560905276017685,0.8259700177204227
John Delaney,98.42213624639636,-0.6164293634939776,0.6009928776291318
Steve Bullock,60.10537457756928,-0.7653087704343355,0.6415306847829751
Mike Gravel,61.14804856348863,-0.8649688931169365,0.25110751082866173
Joe Sestak,87.31857562827673,-0.8907167420123768,0.17178475361137807
